"ID_REF"	"GSM634846"	"GSM634847"	"GSM634848"	"GSM634849"	"GSM634850"	"GSM634851"	"GSM634852"	"GSM634853"	"GSM634854"	"GSM634855"	"GSM634856"	"GSM634857"
"ILMN_1651328"	-0.198084415	-0.178023256	-0.23161483	0.014515607	-0.053518695	-0.08955088	-0.072685756	-0.294774626	-0.218134187	-0.133870892	-0.007153482	-0.052035351
"ILMN_1651329"												
"ILMN_1651330"												
"ILMN_1651336"	0.04744699	0.237651942	0.261097578	-0.135159052	-0.255316461	-0.267884493	0.037729564	-0.017567359	0.188759666	-0.28440916	-0.340010871	-0.25904728
"ILMN_1651339"												
"ILMN_1651341"	-0.017347391	0.177967155	0.203433771	0.049128303	0.053588071	-0.061303432	0.104274963	0.09644611	0.274230341	-0.030053711	-0.113500081	0.104988979
"ILMN_1651343"												
"ILMN_1651346"	1.990248877	1.810604031	1.505392629	1.527704602	1.112655591	1.465592614	1.627836911	1.374868999	1.66528374	1.449287318	1.562957535	2.226854984
"ILMN_1651347"	3.13539706	2.905441384	2.893366514	3.041729709	2.268247639	3.049380451	3.336314841	3.225387518	3.175868407	2.939203079	3.253549102	4.03207084
"ILMN_1651351"												
"ILMN_1651354"												
"ILMN_1651358"												
"ILMN_1651364"	-0.264892999	-0.2149168	-0.146729336	-0.419894678	-0.31511123	-0.283081689	-0.055160627	-0.144553271	-0.019601257	-0.495416017	-0.247856203	-0.19363476
"ILMN_1651365"												
"ILMN_1651369"												
"ILMN_1651370"												
"ILMN_1651373"												
"ILMN_1651378"	1.63848324	1.294646346	1.288829755	1.533639894	1.232975152	1.532376842	0.996953203	0.673742338	0.972950995	1.901163304	1.501555429	1.387654941
"ILMN_1651380"												
"ILMN_1651385"	2.733687025	2.679736784	2.601752218	3.160005268	2.562942328	2.750028936	2.531664398	2.273506527	2.68826451	2.450731044	2.714705342	2.923548618
"ILMN_1651388"												
"ILMN_1651395"												
"ILMN_1651396"												
"ILMN_1651403"												
"ILMN_1651404"												
"ILMN_1651405"	3.204834205	2.972458735	2.830173638	4.167164316	4.0178414	4.052091947	3.070949541	3.133241697	3.043404584	4.175167814	3.921001162	3.951044554
"ILMN_1651408"												
"ILMN_1651415"	-0.13528202	-0.137064079	-0.182416818	-0.234581452	-0.236312625	-0.273692085	0.023690232	-0.269760575	0.004716593	0.055192726	-0.088429836	-0.280425846
"ILMN_1651428"												
"ILMN_1651429"	0.238101693	0.156227953	0.044751588	0.033050636	-0.175135405	0.108913039	0.157869163	-0.134627247	0.088270027	0.253010851	-0.043611789	-0.083946477
"ILMN_1651430"												
"ILMN_1651433"	0.200190907	0.607253206	0.851234671	-0.330672879	-0.484666761	-0.347404037	0.391735398	0.447147677	1.149937648	-0.40727484	-0.177007834	-0.04513306
"ILMN_1651435"												
"ILMN_1651437"	-0.207141353	-0.185476003	-0.237849276	-0.056268442	-0.153174976	0.000593583	-0.271037069	-0.205074561	-0.256729972	-0.256238306	-0.238931433	-0.093710372
"ILMN_1651438"	0.791499339	0.61200403	0.656229198	1.396684003	1.40027558	1.489205988	0.78626654	0.543946223	0.674276773	1.666147159	1.160889029	1.048106489
"ILMN_1651447"												
"ILMN_1651453"												
"ILMN_1651456"												
"ILMN_1651457"												
"ILMN_1651464"	-0.422698759	-0.198114909	-0.368749669	0.019764348	-0.491331392	-0.101989317	-0.071581112	-0.42810303	-0.455421023	-0.299719817	-0.209690264	-0.163566902
"ILMN_1651466"												
"ILMN_1651470"												
"ILMN_1651477"												
"ILMN_1651486"												
"ILMN_1651488"												
"ILMN_1651490"												
