ID_REF	DESCRIPTION	GSM1191286	GSM1191287	GSM1191288	GSM1191289	GSM1191290	GSM1191291	GSM1191292	GSM1191293
7897683		0.10768223	-0.009779453	0.00977993	0.13154984	0.17321587	-0.57944965	-0.33746052	-0.11252928
7897685		0.246593	0.27241135	-0.68734264	-0.20147467	-0.051332474	0.18550158	-0.12606859	0.051332474
7897691		0.31223154	-0.091310024	0.12093258	0.014924049	-0.14202309	-0.3500805	0.27159786	-0.014924526
7897714		0.44178963	-0.009915352	-0.38827944	-0.06474972	0.47656536	0.009915352	-0.47904253	0.19859171
7897728		-0.23569202	-0.16459513	-0.12993479	0.41098642	0.12993479	0.33980417	-0.59225607	0.35917902
7897737		0.30111742	0.042987823	-0.5098953	-0.12671232	0.19726038	0.07449961	-0.042987823	-0.31106615
7897745		0.8722925	0.5275531	-0.79882	-0.32956266	0.9646292	0.12390566	-0.4021325	-0.12390566
7897753		0.47994518	-0.03569603	0.32021046	0.03569603	-0.36612463	0.26541853	-0.63502884	-0.32921267
7897774		0.13847923	0.13564348	-0.8772516	-0.9849348	0.46882057	-0.36515808	-0.045864582	0.045864582
7897801		0.17069435	-0.10169268	-0.91792154	-0.57039976	0.37624884	0.5070424	0.10169268	-0.24283266
7897803		0.25504875	0.3393712	-0.5027528	-0.5731406	0.55739975	0.06302214	-0.11809492	-0.06302261
7897824		0.0907774	0.030619144	-0.77840805	-0.3904128	0.41685963	-0.030619621	0.16258764	-0.3729105
7897849		-0.32575178	0.1124444	-0.5005846	-0.09536886	0.5270109	0.32393646	0.09536934	-0.34807682
7897860		0.82059145	0.034130096	-0.5651741	-0.11257315	0.006691933	-0.006691933	0.027953625	-0.49951077
7897877		-0.099522114	0.3296075	0.099522114	-0.19082117	0.2672572	-0.23795843	0.66619635	-0.3075037
7897890		0.39830112	0.7227087	-0.54478073	-0.5598602	0.4337206	0.1740098	-0.17400932	-0.36951733
7897953		0.2026248	0.47734022	-0.272902	-0.28805923	0.9537487	0.05104208	-0.051042557	-0.8395901
7897955		0.000264	-0.12899733	0.3927145	-0.000264	0.08222437	-0.29679012	-0.33065462	0.013577938
7897960		0.57719374	0.36702347	-0.029454231	-0.23535681	0.3034997	-0.40322113	-0.07911396	0.029453754
7897964		0.020868778	0.04296589	-0.020868778	0.4796586	0.45089483	-0.15862513	-0.25319672	-0.18668318
7897966		0.2820468	0.18567944	0.046278477	-0.046278	0.86831903	-0.18029928	-0.16113377	-0.28148985
7897974		0.22812939	0.016739845	-0.37419224	0.05400324	-0.008487701	-0.24092579	-0.9406462	0.008487701
7897978		0.2919979	0.057416916	0.34874535	-0.18406153	0.6892948	-0.93853664	-0.084691525	-0.057417393
7897987		-0.026296139	-0.26173258	0.026296139	-0.30206108	0.42859888	0.2553754	-0.3168335	0.042054176
7897991		-0.3253646	0.044264793	0.12582493	0.48458195	-0.17470074	-0.4112172	-0.04426527	0.11500549
7897995		0.47014618	0.1904068	0.24444151	-0.16831827	-0.23483658	-0.08620405	-0.24803352	0.08620405
7897997		0.25663567	-0.12349987	-0.3851838	0.025290012	0.037582874	-0.025290012	-1.4293962	0.24065685
7898002		0.18201971	0.17272806	-0.23632336	0.07726765	-0.11436319	0.16738462	-0.7423606	-0.07726765
7898007		0.059618473	-0.059618473	-0.50625324	0.26794577	0.09788084	-0.38432646	0.57934856	-0.08398533
7898012		-0.13060427	-0.30632257	0.34368134	0.13060427	-0.13650703	-0.8553958	0.13546753	0.23026991
7898020		-0.015292645	0.015292645	0.41952896	0.2878046	-0.069164276	-0.4628625	-0.25084352	0.2293663
7898026		-0.14626741	-0.02243042	0.5191364	0.14680433	0.022430897	-0.3499918	-0.09255791	0.36211872
7898030		-0.053199768	-0.14703274	-0.27620697	0.053199768	-0.15004301	0.12343359	0.10161686	0.46461773
